0,0,75,28,-
1,1,75,28,-
2,2,75,28,-
3,3,75,28,-
4,4,75,28,Z
5,5,75,28,-
6,6,75,28,-
7,7,75,28,-
8,8,75,28,-
9,9,75,28,-
10,10,75,28,-
11,11,75,28,-
12,12,75,28,-
13,13,75,28,-
14,14,75,28,-
15,15,75,28,-
16,16,75,28,-
17,17,75,28,-
18,18,75,28,-
19,19,75,28,-
20,20,75,28,-
21,21,75,28,-
22,22,75,28,-
23,23,75,28,-
24,24,75,28,-
25,25,75,28,-
26,26,75,28,-
27,27,75,28,-
28,28,75,28,-
29,29,75,28,-
30,30,75,28,-
31,31,75,28,-
32,32,75,28,-
33,33,75,28,-
34,34,75,28,-
35,35,75,28,-
36,36,75,28,-
37,37,75,28,-
38,38,75,28,-
39,39,75,28,-
40,40,75,28,-
41,41,75,28,-
42,42,75,28,-
43,43,75,28,-
44,44,75,28,-
45,45,75,28,-
46,46,75,28,-
47,47,75,28,-
48,48,75,28,-
49,49,75,28,-
50,50,75,28,-
51,51,75,28,-
52,52,75,28,-
53,53,75,28,-
54,54,75,28,-
55,55,75,28,-
56,56,75,28,-
57,57,75,28,-
58,58,75,28,-
59,59,75,28,-
60,60,75,28,-
61,61,75,28,-
62,62,75,28,-
63,63,75,28,-
64,64,75,28,-
65,65,75,28,-
66,66,75,28,-
67,67,75,28,-
68,68,75,28,-
69,69,75,28,-
70,70,75,28,-
71,71,75,28,-
72,72,75,28,-
73,73,75,28,-
74,74,75,28,-
75,75,75,28,-
76,76,75,28,-
77,77,75,28,-
78,78,75,28,-
79,79,75,28,-
80,80,75,28,-
81,81,75,28,-
82,82,75,28,-
83,83,75,28,-
84,84,75,28,-
85,85,75,28,-
86,86,75,28,-
87,87,75,28,-
88,88,75,28,-
89,89,75,28,-
90,90,75,28,-
91,91,75,28,-
92,92,75,28,-
93,93,75,28,-
94,94,75,28,-
